year,old_SEAK_index,101,102,103,105,106,107,108,3,1,4,5
1980,6254642,1878617.595,608005.7135,2041414.841,114094.0251,127757.6303,301935.6972,1909.443023,130777,290795,745367,225825
1981,5916221,1846770.838,474873.7636,1887282.559,273660.0189,111867.2944,117401.1777,16689.37465,204425,3650,1187835,121850
1982,6034843,1342657.159,347207.6622,1392997.116,96473.29137,213154.7846,353646.8812,44270,427135,362000,739247,70300
1983,8234208,2130234.617,970940.3816,2017387.785,221667.5359,136476.4009,347167.8898,18466.85182,738205,2130,2610074,81025
1984,9007216,3547091.674,772402.2134,2668312.013,147757.2421,120884.0389,251226.31,13635.21909,531035,1213900,1037698,162450
1985,12404520,3404121.654,897313.4755,3827374.57,656551.5131,857014.3823,806530.0405,53284,508855,1875,2042150,176075
1986,14387313,4394329.58,1503888.538,4819764.924,637276,736272.1427,667171.1305,13264,375245,838500,2323944,313900
1987,5613688,2204649.646,463723.092,1735473.082,134147.554,236992.8009,288136.978,59380,372866,4500,3180414,127950
1988,4430788,1213648.803,462267.1734,1102956.834,132252.8785,215399.3162,273237.4422,9228.197025,185065,566100,828090,162000
1989,8704092,2565923.136,722731.5834,2829923.638,352826.3144,600210.3995,878077.9634,70481,641270,1300,4675527,178500
1990,7109022,1735449.984,925362.3798,2334873.064,355133.415,527970.1946,366569.9041,57616.57063,154968,1390060,2611520,202244
1991,7345368,1627810.096,612136.2974,1969842.813,592130.1649,578182.0112,583533.2522,123268.648,388100,600,4797937,70160
1992,7097095,2691413.49,863746.9903,1430592.776,181378.4535,406590.6304,808249.1237,57103.1686,196808,994800,821950,41161
1993,7972481,2117431.534,893382,2820072.072,614400,717773.76,664080.4645,13268.96062,314102,350,663888,39475
1994,7097471,1753936.026,630159.1458,1961461.563,428032.3385,848323.703,504075.5467,34500,155356,647000,242035,44725
1995,9371129,3821514.207,797820.1277,2764574.762,510393.5006,726426.6319,728511.4278,14774.88363,349017,1000,1641489,90900
1996,13905898,5663175.551,1825876.263,4573475.034,870520.1024,816339.0785,625235.0205,29956,315160,2924000,2025661,270100
1997,7275566,2236251.114,780891.371,1752522.782,620924.2355,631958.5183,529979.7946,14036.08535,216527,0,484476,68750
1998,,3103956,1145607,2751460,341806,648665,540930,26050,147940,1340512,272871,161250
1999,,2794519,1716482,3449080,2829953,3192752,794239,57591,464775,0,2000000,313450
2000,,1885571,1120354,1768655,578543,321585,460594,12775,322990,465000,260481,278150
2001,,4349052,1153622.74,3258783.1,1036900,995285.459,880004.9823,116395.3775,1007899,0,1017612,395650
2002,,3245730.236,1682664.914,3142869.994,684172.3876,597041.0492,556967.3794,8476.381125,600000,1000000,232451,409810
2003,,3697993.804,1339411.044,2981396.465,886453.2561,881581.8124,832929.2197,157406.9796,841856,0,1517355,233825
2004,,2479716.548,737288.2365,3490699.619,631920.1116,562398.3004,557965.1309,36503.20006,542500,177500,653350,88330
2005,,2871405.532,1413587.184,2722833.722,1140610.221,750164.4566,798352.355,124531.4762,944415,0,1213770,277400
2006,,1306503.583,753227.047,1353249.465,221190.7743,313560.2503,361527.6189,56681.87831,130425,250250,116097,29490
2007,,3988857.609,1708843.062,3733733.109,439532.5122,502401.4284,644939.9984,50333.88077,588684,0,627423,111200
2008,,2148915.242,1112781.447,2205928.199,257226.7013,363683.4495,585261.0281,9544.238462,58676,607750,69898,29080
2009,,2653504.444,1282911.916,2501768.804,379698.4908,302930.4388,428719.5999,29160.96307,640955,0,2515312,164350
2010,,2351472.143,845082.107,1648956.037,348104.6418,414541.7212,462054.3547,55300,256789,1135000,325404,40704
2011,,2081544,956967,1569458,577778,297358,198323,34500,61948,0,268774,41975
2012,,2911662,1002836,1772011,285058,274705,423472,22640,339375,207200,251479,77508
2013,,5065552,3045719,4697014,964718,615359,556972,79840,530873,0,960000,171174
2014,,4415135,1561325,2840494,297350,461459,434327,13250,382777,1030000,1480946,205862
2015,,1179749,814789,1408970,448816,265770,316596,38400,390255,0,240101,8633
2016,,3343298,1057348,1631890,185417,302007,290674,33900,275997,250000,49932,5943
2017,,1979944,1016757,2289539,495586,259237,506199,79683,150014,0,465109,4958
