Area,Period,Gear,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,District
3-(1),2,GN,8241.097452,22993.13863,3693.252019,21174.50716,8925.38107,9153.625303,18015.64819,11926.44539,2147.932362,274.1813911,3952.957226,13398.89915,25647.17536,5465.872791,3248.354327,69563.23335,9852.955657,6303.578206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),3,GN,411.8757962,0,2036.642671,1575.689682,4257.07663,1650.968646,6495.870841,5213.031902,4644.917992,1255.320683,1087.457243,1025.265599,7733.647001,294.2596388,2570.850888,6823.924368,25302.88131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),4,GN,365.3159236,0,115.4797391,954.2025165,422.8116925,0,1747.389256,450.301322,495.0624775,591.3716278,962.807994,0,0,0,0,3467.592002,2592.662741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),1,SE,15551.62845,28031.53598,24222.07693,2910.910665,165921.047,8274.257046,18910.61573,15972.59504,22279.91699,75799.23077,6785.247001,170296.8891,52385.17062,11148.3348,2708.296353,52012.59568,42190.52013,23729.1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),2,SE,19017.60369,15219.80906,92569.56423,561277.042,141097.2479,119036.0459,199948.2973,150530.2422,51908.41454,236652.0891,117155.1633,2059749.525,194334.8169,205562.7591,54796.79501,1051125.733,316166.1454,77616.84968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),3,SE,8501.763334,0,82744.65096,312964.481,180177.8757,176031.1076,203522.7729,122062.7308,121776.4779,326482.4682,324415.6589,834158.7916,60983.04602,88019.26344,58760.66642,579048.5912,261198.1643,34221.89006,28224,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(1),4,SE,2798.983446,0,111796.5413,69089.57354,65718.70947,0,3999.026308,29952.10534,39839.07283,0,68487.92635,35817.04577,75063.23318,956.0268051,7555.629317,35653.77501,19884.42984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3
3-(2-4),1,GN,13049.29968,5771.06857,353.7879279,3377.374697,15638.24068,1371.931692,224.7571311,1628.371793,550.9566282,6940.552468,1839.650989,5113.322511,8368.378321,8246.626377,13674.58293,17445.51099,10101.33777,3780.93119,3257,1193.907016,3995.741128,11427.36433,8023.545344,132360.8954,13867.85258,26688.54301,7745,5859,561,8315,0,0,1441.886264,9735,1856,11401,1,3,3
3-(2-4),2,GN,11113.48344,11158.34054,1781.537429,38864.9196,15157.50958,3569.853208,7389.702669,25195.38663,1048.3005,490.5696458,2359.739235,10944.11418,6311.042837,3710.123612,915.5451881,29598.77195,7360.762087,5836.533919,0,7595.408453,2706.673908,5420.892019,22721.2135,140266.1551,30842.1346,23680.91306,27287,22720,4982,32044,9616,0,0,0,0,0,41,0,3
3-(2-4),3,GN,8072.765605,0,8908.736963,20925.91229,15429.73081,5806.192856,28732.5359,5287.770711,2304.207845,4009.230831,13151.21217,6147.258432,10897.2285,2414.15512,6617.56062,24649.57245,15790.40451,0,0,2635.794719,880.1892988,0,0,11685.04424,24493.44083,0,0,0,0,0,0,13524.1811,0,0,0,0,112,0,3
