District,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
101,1878617.60,1846770.84,1342657.16,2130234.62,3547091.67,3404121.65,4394329.58,2204649.65,1213648.80,2565923.14,1735449.98,1627810.10,2691413.49,2117431.53,1753936.03,3821514.21,5663175.55,2236251.11,3103956.00,2794519.00,1885571.00,4349051.53,3245730.24,3697993.80,2479716.55,2871405.53,1306503.58,3988857.61,2148915.24,2653504.44,2351472.14,2081544.00,2911662.00,5065552.00,4415135.00,1179749.00,3343298.00,1979944.00
102,608005.71,474873.76,347207.66,970940.38,772402.21,897313.48,1503888.54,463723.09,462267.17,722731.58,925362.38,612136.30,863746.99,893382.00,630159.15,797820.13,1825876.26,780891.37,1145607.00,1716482.00,1120354.00,1153622.74,1682664.91,1339411.04,737288.24,1413587.18,753227.05,1708843.06,1112781.45,1282911.92,845082.11,956967.00,1002836.00,3045719.00,1561325.00,814789.00,1057348.00,1016757.00
103,2041414.84,1887282.56,1392997.12,2017387.79,2668312.01,3827374.57,4819764.92,1735473.08,1102956.83,2829923.64,2334873.06,1969842.81,1430592.78,2820072.07,1961461.56,2764574.76,4573475.03,1752522.78,2751460.00,3449080.00,1768655.00,3258783.10,3142869.99,2981396.46,3490699.62,2722833.72,1353249.46,3733733.11,2205928.20,2501768.80,1648956.04,1569458.00,1772011.00,4697014.00,2840494.00,1408970.00,1631890.00,2289539.00
105,114094.03,273660.02,96473.29,221667.54,147757.24,656551.51,637276.00,134147.55,132252.88,352826.31,355133.42,592130.16,181378.45,614400.00,428032.34,510393.50,870520.10,620924.24,341806.00,2829953.00,578543.00,1036900.00,684172.39,886453.26,631920.11,1140610.22,221190.77,439532.51,257226.70,379698.49,348104.64,577778.00,285058.00,964718.00,297350.00,448816.00,185417.00,495586.00
106,127757.63,111867.29,213154.78,136476.40,120884.04,857014.38,736272.14,236992.80,215399.32,600210.40,527970.19,578182.01,406590.63,717773.76,848323.70,726426.63,816339.08,631958.52,648665.00,3130522.00,321585.00,995285.46,597041.05,881581.81,562398.30,750164.46,313560.25,502401.43,363683.45,302930.44,414541.72,297358.00,274705.00,615359.00,461459.00,265770.00,302007.00,259237.00
107,301935.70,117401.18,353646.88,347167.89,251226.31,806530.04,667171.13,288136.98,273237.44,878077.96,366569.90,583533.25,808249.12,664080.46,504075.55,728511.43,625235.02,529979.79,540930.00,793534.00,460594.00,880004.98,556967.38,832929.22,557965.13,798352.35,361527.62,644940.00,585261.03,428719.60,462054.35,198323.00,423472.00,556972.00,434327.00,316596.00,290674.00,506199.00
108,1909.44,16689.37,44270.00,18466.85,13635.22,53284.00,13264.00,59380.00,9228.20,70481.00,57616.57,123268.65,57103.17,13268.96,34500.00,14774.88,29956.00,14036.09,26050.00,57591.00,12775.00,116395.38,8476.38,157406.98,36503.20,124531.48,56681.88,50333.88,9544.24,29160.96,55300.00,34500.00,22640.00,79840.00,13250.00,38400.00,33900.00,79683.00
